user_id,age,occupation,gender,movie_id,rating
38,34,executive/managerial,M,the+lady+in+number+6+2013,3
32826,27,college/grad student,M,gentlemans+agreement+1947,4
65596,58,academic/educator,M,christmas+holiday+1944,4
115,34,college/grad student,M,back+to+the+future+1985,3
115,34,college/grad student,M,days+of+thunder+1990,1
115,34,college/grad student,M,amlie+2001,4
115,34,college/grad student,M,ghost+dog+the+way+of+the+samurai+1999,4
115,34,college/grad student,M,jackie+brown+1997,4
115,34,college/grad student,M,toy+story+1995,1
65656,59,academic/educator,M,ordinary+decent+criminal+2000,3
32892,33,college/grad student,M,the+matrix+1999,4
128,34,executive/managerial,M,the+maze+runner+2014,3
32902,29,scientist,M,happy+together+1989,4
65686,26,college/grad student,M,frank+herberts+dune+2000,4
65703,31,college/grad student,M,black+peter+1964,4
65714,25,artist,M,big+hero+6+2014,5
65714,25,artist,M,the+ashes+1965,4
196,27,retired,M,inception+2010,5
232,21,self-employed,M,two+shots+fired+2014,3
257,26,college/grad student,M,con+air+1997,3
257,26,college/grad student,M,dead+man+walking+1995,3
257,26,college/grad student,M,air+force+one+1997,3
257,26,college/grad student,M,rob+roy+1995,2
257,26,college/grad student,M,trainspotting+1996,5
65895,32,executive/managerial,M,wild+man+blues+1997,3
65939,30,other or not specified,M,the+plough+and+the+stars+1936,4
65944,32,executive/managerial,M,state+of+siege+1972,3
33186,34,college/grad student,M,dial+m+for+murder+1954,4
33337,30,executive/managerial,M,taxi+driver+1976,5
33337,30,executive/managerial,M,three+colors+red+1994,5
33337,30,executive/managerial,M,mission+impossible+1996,2
33337,30,executive/managerial,M,batman+forever+1995,3
33337,30,executive/managerial,M,ace+ventura+pet+detective+1994,3
33391,34,college/grad student,M,delhi-6+2009,3
628,29,customer service,M,star+wars+1977,5
628,29,customer service,M,the+rocky+horror+picture+show+1975,4
628,29,customer service,M,to+kill+a+mockingbird+1962,5
628,29,customer service,M,the+blues+brothers+1980,5
628,29,customer service,M,the+lost+world+jurassic+park+1997,3
628,29,customer service,M,the+wrong+trousers+1993,5
628,29,customer service,M,the+lord+of+the+rings+the+two+towers+2002,5
33408,31,scientist,M,the+shining+1980,4
696,71,academic/educator,M,raiders+of+the+lost+ark+1981,3
699,33,self-employed,M,sixteen+candles+1984,3
719,33,academic/educator,M,working+girl+1988,3
719,33,academic/educator,M,the+shawshank+redemption+1994,5
719,33,academic/educator,M,the+big+lebowski+1998,5
719,33,academic/educator,M,like+water+for+chocolate+1992,2
719,33,academic/educator,M,the+hunt+for+red+october+1990,5
720,67,executive/managerial,M,pink+floyd+the+wall+1982,4
730,29,executive/managerial,M,trading+places+1983,3
730,29,executive/managerial,M,terminator+2+judgment+day+1991,3
730,29,executive/managerial,M,jurassic+park+1993,1
730,29,executive/managerial,M,mad+max+1979,3
730,29,executive/managerial,M,the+negotiator+1998,4
730,29,executive/managerial,M,the+fugitive+1993,5
730,29,executive/managerial,M,mission+impossible+ii+2000,4
730,29,executive/managerial,M,das+boot+1981,3
730,29,executive/managerial,M,saving+private+ryan+1998,3
730,29,executive/managerial,M,enemy+of+the+state+1998,5
730,29,executive/managerial,M,braveheart+1995,5
730,29,executive/managerial,M,charlies+angels+2000,4
730,29,executive/managerial,M,the+fifth+element+1997,4
33528,26,college/grad student,M,lon+chaney+a+thousand+faces+2000,3
33528,26,college/grad student,M,a+man+escaped+1956,5
759,33,other or not specified,M,strangers+on+a+train+1951,4
769,18,K-12 student,M,how+to+irritate+people+1969,3
782,30,scientist,M,star+trek+generations+1994,4
782,30,scientist,M,mortal+kombat+1995,3
782,30,scientist,M,wyatt+earp+1994,4
859,27,executive/managerial,M,west+of+the+divide+1934,3
937,25,college/grad student,M,drifting+clouds+1996,4
33708,29,executive/managerial,M,the+fault+in+our+stars+2014,4
961,25,college/grad student,M,my+best+girl+1927,3
987,25,sales/marketing,M,the+descent+2005,3
33807,33,college/grad student,M,braveheart+1995,5
33807,33,college/grad student,M,entrapment+1999,4
33807,33,college/grad student,M,batman++robin+1997,2
33807,33,college/grad student,M,arachnophobia+1990,3
33807,33,college/grad student,M,phantasm+1979,4
33807,33,college/grad student,M,die+hard+2+1990,4
33807,33,college/grad student,M,the+negotiator+1998,3
33807,33,college/grad student,M,austin+powers+the+spy+who+shagged+me+1999,4
33807,33,college/grad student,M,ratatouille+2007,4
1143,26,college/grad student,M,hannah+and+her+sisters+1986,4
1153,26,doctor/health care,M,logans+run+1976,3
33931,32,college/grad student,M,batman+mask+of+the+phantasm+1993,3
33975,33,self-employed,F,brief+encounter+1945,4
