user_time,user_id,movie_id,movie_title,year,minute
2024-09-10T08:39:04,123672,21+grams+2003,21 grams,2003,57
2024-09-10T08:39:04,110900,the+guardian+2006,the guardian,2006,111
2024-09-10T08:39:04,51072,pascalis+island+1988,pascalis island,1988,59
2024-09-10T08:39:04,144882,the+odessa+file+1974,the odessa file,1974,45
2024-09-10T08:39:04,112426,seven+samurai+1954,seven samurai,1954,149
2024-09-10T08:39:04,58513,thor+the+dark+world+2013,thor the dark world,2013,91
2024-09-10T08:39:04,132611,the+godfather+1972,the godfather,1972,7
2024-09-10T08:39:04,81061,run_+man_+run+1968,run_ man_ run,1968,15
2024-09-10T08:39:04,119271,the+uninvited+guest+2004,the uninvited guest,2004,18
2024-09-10T08:39:04,85070,still+life+2013,still life,2013,23
2024-09-10T08:39:04,147925,home+among+strangers_+a+stranger+among+his+own+1974,home among strangers_ a stranger among his own,1974,85
2024-09-10T08:39:05,110337,ran+1985,ran,1985,69
2024-09-10T08:39:05,72526,shoah+1985,shoah,1985,521
2024-09-10T08:39:05,45465,a+single+man+2009,a single man,2009,61
2024-09-10T08:39:05,137175,armageddon+1998,armageddon,1998,73
2024-09-10T08:39:05,130261,ween+live+in+chicago+2004,ween live in chicago,2004,24
2024-09-10T08:39:05,132796,crossing+the+bridge+1992,crossing the bridge,1992,83
2024-09-10T08:39:05,5293,chosin+2010,chosin,2010,32
2024-09-10T08:39:05,107460,anatomy+of+a+murder+1959,anatomy of a murder,1959,91
2024-09-10T08:39:05,24389,the+lord+of+the+rings+the+return+of+the+king+2003,the lord of the rings the return of the king,2003,65
2024-09-10T08:39:05,45905,interstellar+2014,interstellar,2014,148
2024-09-10T08:39:05,90394,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,the lord of the rings the fellowship of the ring,2001,175
2024-09-10T08:39:05,75824,wings+of+desire+1987,wings of desire,1987,40
2024-09-10T08:39:05,81591,some+girls+2013,some girls,2013,55
2024-09-10T08:39:05,143402,a+girl+walks+home+alone+at+night+2014,a girl walks home alone at night,2014,11
2024-09-10T08:39:05,138110,crystal+lake+memories+the+complete+history+of+friday+the+13th+2013,crystal lake memories the complete history of friday the 13th,2013,391
2024-09-10T08:39:05,112012,the+deer+hunter+1978,the deer hunter,1978,25
2024-09-10T08:39:05,64936,monsters_+inc.+2001,monsters_ inc.,2001,0
2024-09-10T08:39:05,81950,troy+2004,troy,2004,4
2024-09-10T08:39:05,31863,megamind+2010,megamind,2010,32
2024-09-10T08:39:05,11370,1900+1976,1900,1976,24
2024-09-10T08:39:05,94642,odd+thomas+2013,odd thomas,2013,42
2024-09-10T08:39:05,61750,goodfellas+1990,goodfellas,1990,121
2024-09-10T08:39:05,8025,triumph+of+the+spirit+1989,triumph of the spirit,1989,50
2024-09-10T08:39:05,123274,apollo+13+1995,apollo 13,1995,136
2024-09-10T08:39:05,57221,the+miracle+of+morgans+creek+1944,the miracle of morgans creek,1944,47
2024-09-10T08:39:05,133070,interstellar+2014,interstellar,2014,147
2024-09-10T08:39:05,19044,american+history+x+1998,american history x,1998,111
2024-09-10T08:39:05,75486,quick+change+1990,quick change,1990,47
2024-09-10T08:39:05,139654,espions+2009,espions,2009,46
2024-09-10T08:39:05,26820,ikigami+the+ultimate+limit+2008,ikigami the ultimate limit,2008,47
2024-09-10T08:39:05,90665,damnation+1988,damnation,1988,95
2024-09-10T08:39:05,4043,pageant+2008,pageant,2008,47
2024-09-10T08:39:05,18690,memories+1995,memories,1995,99
2024-09-10T08:39:05,11766,reach+the+rock+1998,reach the rock,1998,55
2024-09-10T08:39:05,74228,the+tale+of+zatichi+1962,the tale of zatichi,1962,57
2024-09-10T08:39:05,144896,pirates+of+the+caribbean+on+stranger+tides+2011,pirates of the caribbean on stranger tides,2011,81
2024-09-10T08:39:05,32471,k-911+1999,k-911,1999,36
2024-09-10T08:39:05,130377,underground+1995,underground,1995,100
2024-09-10T08:39:05,148146,chicken+with+plums+2011,chicken with plums,2011,78
2024-09-10T08:39:05,129067,school+ties+1992,school ties,1992,15
2024-09-10T08:39:05,58742,spirited+away+2001,spirited away,2001,66
2024-09-10T08:39:06,12455,the+dark+knight+2008,the dark knight,2008,134
2024-09-10T08:39:06,48109,all+that+heaven+allows+1955,all that heaven allows,1955,13
2024-09-10T08:39:06,37290,the+time+machine+1960,the time machine,1960,26
2024-09-10T08:39:06,110811,toy+story+2+1999,toy story 2,1999,62
2024-09-10T08:39:06,9841,time+of+the+gypsies+1988,time of the gypsies,1988,35
2024-09-10T08:39:06,85115,kill+bill+vol.+1+2003,kill bill vol. 1,2003,62
2024-09-10T08:39:06,106016,the+goonies+1985,the goonies,1985,6
