movie_id,tmdb_id,imdb_id,title,original_title,adult,budget,genres,homepage,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,vote_average,vote_count
georgia+rule+2007,13159,tt0791304,Georgia Rule,Georgia Rule,False,20000000,"Comedy, Drama, Romance",null,en,"Georgia Rule follows a rebellious, uncontrollable teenager who is hauled off by her dysfunctional mother to spend the summer with her grandmother. Her journey will lead all three women to revelations of buried family secrets and an understanding that - regardless what happens - the ties that bind can never be broken.",7.281643,/hEf4AlcN0wuVby5ysKf2RuckUgj.jpg,"Universal Pictures, Morgan Creek Productions",United States of America,2007-05-11,0,113,"English, Français, Deutsch",Released,5.6,130
the+scarlet+clue+1945,38467,tt0038056,The Scarlet Clue,The Scarlet Clue,False,0,"Mystery, Thriller",null,en,Chinese sleuth Charlie Chan (Sidney Toler) discovers a scheme for the theft of government radar plans while investigating several murders.,0.477824,/dKOQV96pKOc2FGF5QZybSwaLTFr.jpg,Monogram Pictures,United States of America,1945-05-11,0,65,"Deutsch, English",Released,5.9,8
the+naked+gun+from+the+files+of+police+squad+1988,37136,tt0095705,The Naked Gun: From the Files of Police Squad!,The Naked Gun: From the Files of Police Squad!,False,12000000,"Comedy, Crime",null,en,"When the incompetent Officer Frank Drebin seeks the ruthless killer of his partner, he stumbles upon an attempt to assassinate Queen Elizabeth.",15.698222,/gajZQkZjVXPuLJUMoEk1eVeZz61.jpg,Paramount Pictures,United States of America,1988-12-02,78756177,85,English,Released,7.1,1020
i+vitelloni+1953,12548,tt0046521,I Vitelloni,I Vitelloni,False,0,"Comedy, Drama",null,it,"Five young men linger in a postadolescent limbo, dreaming of adventure and escape from their small seacoast town. They while away their time spending the lira doled out by their indulgent families on drink, women, and nights at the local pool hall. Federico Fellini’s second solo directorial effort (originally released in the U.S. as The Young and the Passionate) is a semiautobiographical masterpiece of sharply drawn character sketches: Skirt chaser Fausto, forced to marry a girl he has impregnated; Alberto, the perpetual child; Leopoldo, a writer thirsting for fame; and Moraldo, the only member of the group troubled by a moral conscience. An international success and recipient of an Academy Award® nomination for Best Original Screenplay, I vitelloni compassionately details a year in the life of a group of small-town layabouts struggling to find meaning in their lives.",9.162943,/4gnreB5FridNQwaoNs75Hqvijrh.jpg,"Cité Films, Peg-Films","Italy, France",1953-08-26,0,107,"Italiano, Español",Released,7.6,79
reclaim+your+brain+2007,1912,tt0810868,Reclaim Your Brain,Free Rainer - Dein Fernseher lügt,False,2500000,"Comedy, Drama",http://www.freerainer.de/,de,"Frustrated, because he is forced to produce bad TV-shows, a manager of a TV-station, enters the station and manipulates the ratings, to initiate a TV-revolution.",2.529219,/tZhTYAs3rE3fmtz4XtLCAWzuwZ9.jpg,"Coop 99, kahuuna films, Österreichischer Rundfunk (ORF)",Germany,2007-09-11,0,129,Deutsch,Released,6.9,30
lifeboat+1944,13321,tt0037017,Lifeboat,Lifeboat,False,1590000,"Drama, War",null,en,"During World War II, a small group of survivors is stranded in a lifeboat together after the ship they were traveling on is destroyed by a German U-boat.",7.773354,/uptFcaNThH0p2nl0BIqbbdsM850.jpg,Twentieth Century Fox Film Corporation,United States of America,1944-01-11,0,96,"English, Français, Deutsch",Released,7.3,112
high+sierra+1941,27725,tt0033717,High Sierra,High Sierra,False,455000,"Adventure, Drama, Thriller, Crime",null,en,"See Bogie at his best as world weary ""Mad Dog Roy Earle"" Given a pardon from jail he gets back into the swing of things as he robs a swanky resort.",6.27696,/ztVva1Cjjou99oIQvVKHTBrN0fE.jpg,Warner Bros.,United States of America,1941-01-25,0,100,English,Released,7.0,66
world+without+end+1956,75506,tt0049964,World Without End,World Without End,False,0,Science Fiction,null,en,"Four astronauts returning from mankind's first mission to Mars enter a time warp and crash on a 26th Century Earth devastated by atomic war. Our heroes meet with hideous mutant cavemen, giant spiders, love-struck beauties in short dresses, and jealous old geezers in sparkly skullcaps as they struggle to save humanity and build a new world.",4.241987,/cueVPcYykcK1ZklvRSqsbOp9DFH.jpg,Allied Artists Pictures,United States of America,1956-03-25,0,80,English,Released,5.7,11
monsieur+ibrahim+2003,337,tt0329388,Monsieur Ibrahim,Monsieur Ibrahim et les fleurs du Coran,False,0,Drama,http://www.sonyclassics.com/ibrahim/aboutcast.html,fr,Monsieur Ibrahim is a story about a young Jewish boy in Paris who meets an old Muslim Turkish grocery store owner. The film touches the themes of friendship and love as the old man is a father figure to the boy as he teaches him of the Koran. The film is based on a book of the popular book by the French author Eric-Emmanuel Schmitt.,8.260823,/vOPzRgy6rTVDkGYb477lEwD2owh.jpg,ARP Sélection,France,2003-12-03,11576431,94,"Français, Türkçe",Released,7.0,39
forbidden+planet+1956,830,tt0049223,Forbidden Planet,Forbidden Planet,False,1900000,"Adventure, Science Fiction, Action",null,en,Captain Adams and the crew of the Starship C57D fly towards planet Altair 4 in search for the Bellerphon spaceship that has been missing for twenty years. To their surprise they are already being expected. A classic science fiction film from 1957 starring Leslie Nielsen.,6.379966,/qdH1Fm5vl1DAjXNHPmRZ4yEiUgM.jpg,Metro-Goldwyn-Mayer (MGM),United States of America,1956-03-15,3250000,98,English,Released,7.2,238
