user_id,age,occupation,gender
32775,18,academic/educator,F
10,38,executive/managerial,M
15,25,college/grad student,M
18,25,executive/managerial,M
22,27,homemaker,M
32791,33,college/grad student,M
32796,32,self-employed,M
32798,29,executive/managerial,M
38,34,executive/managerial,M
65582,26,sales/marketing,M
32826,27,college/grad student,M
65596,58,academic/educator,M
32851,27,executive/managerial,M
32857,27,academic/educator,F
93,31,executive/managerial,M
96,28,sales/marketing,M
65641,27,scientist,F
32877,26,college/grad student,M
111,29,retired,F
32881,32,sales/marketing,F
115,34,college/grad student,M
65656,59,academic/educator,M
65657,34,academic/educator,M
32892,33,college/grad student,M
65661,32,scientist,M
65662,30,K-12 student,M
128,34,executive/managerial,M
32901,51,executive/managerial,F
32902,29,scientist,M
65677,27,executive/managerial,M
32913,25,sales/marketing,M
147,20,sales/marketing,M
65686,26,college/grad student,M
65688,21,K-12 student,M
32924,27,self-employed,F
65700,25,college/grad student,M
65703,31,college/grad student,M
168,27,scientist,M
170,30,sales/marketing,M
65714,25,artist,M
65728,89,retired,M
196,27,retired,M
202,31,executive/managerial,M
213,38,scientist,F
219,31,scientist,F
232,21,self-employed,M
237,34,scientist,M
65782,28,self-employed,M
249,29,executive/managerial,M
33020,34,academic/educator,M
255,29,homemaker,F
257,26,college/grad student,M
65797,29,technician/engineer,M
65804,34,college/grad student,M
270,26,college/grad student,M
33039,30,homemaker,F
65809,30,technician/engineer,M
275,30,scientist,M
65816,25,homemaker,F
282,34,executive/managerial,M
65822,26,college/grad student,M
301,32,executive/managerial,M
33086,18,K-12 student,F
33095,27,scientist,M
33096,28,college/grad student,M
65895,32,executive/managerial,M
368,26,technician/engineer,M
65904,26,other or not specified,M
391,34,college/grad student,M
395,12,K-12 student,M
33164,27,clerical/admin,F
65934,33,executive/managerial,M
33167,34,self-employed,M
65939,30,other or not specified,M
65942,32,executive/managerial,M
407,27,other or not specified,F
65944,32,executive/managerial,M
409,22,K-12 student,M
33186,34,college/grad student,M
65967,25,scientist,M
446,37,executive/managerial,M
65987,18,sales/marketing,M
466,27,K-12 student,F
33237,19,sales/marketing,M
33244,25,executive/managerial,M
33280,32,technician/engineer,M
522,33,other or not specified,M
33298,86,retired,M
555,25,tradesman/craftsman,M
565,39,lawyer,M
