user_time,user_id,movie_id,movie_title,year,rating
2024-10-14T15:20:53,69835,like+water+for+chocolate+1992,like water for chocolate,1992,3
2024-10-14T15:20:53,302703,the+dark+knight+rises+2012,the dark knight rises,2012,4
2024-10-14T15:20:54,212553,the+great+debaters+2007,the great debaters,2007,5
2024-10-14T15:20:55,19606,the+flying+scotsman+2006,the flying scotsman,2006,3
2024-10-14T15:20:56,470992,71+fragments+of+a+chronology+of+chance+1994,71 fragments of a chronology of chance,1994,4
2024-10-14T15:20:57,375836,casino+royale+2006,casino royale,2006,4
2024-10-14T15:20:58,342438,forrest+gump+1994,forrest gump,1994,5
2024-10-14T15:20:59,42291,jarhead+2005,jarhead,2005,3
2024-10-14T15:21:01,166080,highwaymen+2004,highwaymen,2004,3
2024-10-14T15:21:01,390312,loggerheads+2005,loggerheads,2005,4
2024-10-14T15:21:02,411376,the+hunger+games+mockingjay+-+part+1+2014,the hunger games mockingjay - part 1,2014,4
2024-10-14T15:21:03,491739,pusher+1996,pusher,1996,4
2024-10-14T15:21:04,98300,from+the+journals+of+jean+seberg+1995,from the journals of jean seberg,1995,4
2024-10-14T15:21:04,483310,blacksmith+scene+1893,blacksmith scene,1893,3
2024-10-14T15:21:05,522635,bad+company+1995,bad company,1995,4
2024-10-14T15:21:05,367095,toy+story+3+2010,toy story 3,2010,5
2024-10-14T15:21:06,305578,the+last+seduction+1994,the last seduction,1994,4
2024-10-14T15:21:06,423444,rough+magic+1995,rough magic,1995,3
2024-10-14T15:21:11,384605,the+lord+of+the+rings+the+two+towers+2002,the lord of the rings the two towers,2002,4
2024-10-14T15:21:13,252334,penguins+of+madagascar+2014,penguins of madagascar,2014,4
2024-10-14T15:21:14,492549,the+black+imp+1905,the black imp,1905,4
2024-10-14T15:21:15,56232,promise+me+this+2007,promise me this,2007,3
2024-10-14T15:21:16,199888,pusher+1996,pusher,1996,3
2024-10-14T15:21:16,351802,toy+story+1995,toy story,1995,4
2024-10-14T15:21:17,411006,cheerful+weather+for+the+wedding+2012,cheerful weather for the wedding,2012,4
2024-10-14T15:21:17,325416,the+replacement+killers+1998,the replacement killers,1998,3
2024-10-14T15:21:17,519152,superman+doomsday+2007,superman doomsday,2007,4
2024-10-14T15:21:18,52693,brazil+1985,brazil,1985,5
2024-10-14T15:21:19,260523,high+and+low+1963,high and low,1963,4
2024-10-14T15:21:20,239780,boys+dont+cry+1999,boys dont cry,1999,4
2024-10-14T15:21:21,390347,star+wars+episode+iii+-+revenge+of+the+sith+2005,star wars episode iii - revenge of the sith,2005,4
2024-10-14T15:21:21,103754,the+big+boss+1971,the big boss,1971,4
2024-10-14T15:21:21,274948,girl+walk++all+day+2011,girl walk  all day,2011,3
2024-10-14T15:21:21,290533,howls+moving+castle+2004,howls moving castle,2004,4
2024-10-14T15:21:22,230826,the+return+of+martin+guerre+1982,the return of martin guerre,1982,5
2024-10-14T15:21:22,393038,were+no+angels+1989,were no angels,1989,3
2024-10-14T15:21:25,123756,inglourious+basterds+2009,inglourious basterds,2009,4
2024-10-14T15:21:26,335287,the+unholy+three+1930,the unholy three,1930,4
2024-10-14T15:21:26,164072,i+think+were+alone+now+2008,i think were alone now,2008,4
2024-10-14T15:21:26,333180,the+green+mile+1999,the green mile,1999,4
2024-10-14T15:21:28,418609,rush+beyond+the+lighted+stage+2010,rush beyond the lighted stage,2010,4
2024-10-14T15:21:30,290698,cuban+fury+2014,cuban fury,2014,2
2024-10-14T15:21:31,276548,winwin+2010,winwin,2010,4
2024-10-14T15:21:32,47975,plynimurikauppiaat+,plynimurikauppiaat,,4
2024-10-14T15:21:33,302555,through+the+olive+trees+1994,through the olive trees,1994,3
2024-10-14T15:21:35,375226,the+housemaid+1960,the housemaid,1960,3
2024-10-14T15:21:36,386065,the+quiet+2005,the quiet,2005,3
2024-10-14T15:21:36,52268,the+house+of+small+cubes+2008,the house of small cubes,2008,4
2024-10-14T15:21:36,201272,all+the+presidents+men+1976,all the presidents men,1976,4
2024-10-14T15:21:37,18411,spirited+away+2001,spirited away,2001,5
2024-10-14T15:21:37,475902,the+dark+knight+2008,the dark knight,2008,5
2024-10-14T15:21:37,4237,master+and+commander+the+far+side+of+the+world+2003,master and commander the far side of the world,2003,4
2024-10-14T15:21:38,500273,fight+club+1999,fight club,1999,4
2024-10-14T15:21:38,489876,walle+2008,walle,2008,3
2024-10-14T15:21:38,384582,garage+2007,garage,2007,4
2024-10-14T15:21:39,423792,tape+2001,tape,2001,5
2024-10-14T15:21:39,153012,disney+sing-along-songs+under+the+sea+1990,disney sing-along-songs under the sea,1990,3
2024-10-14T15:21:39,250372,the+man+who+knew+too+much+1956,the man who knew too much,1956,4
2024-10-14T15:21:40,15335,drive+me+crazy+1999,drive me crazy,1999,2
2024-10-14T15:21:41,438497,the+bakers+wife+1938,the bakers wife,1938,4
2024-10-14T15:21:42,103552,rome_+open+city+1945,rome_ open city,1945,4
2024-10-14T15:21:44,71242,special+26+2013,special 26,2013,3
2024-10-14T15:21:45,372558,children+who+chase+lost+voices+2011,children who chase lost voices,2011,4
2024-10-14T15:21:46,278667,castle+in+the+sky+1986,castle in the sky,1986,4
2024-10-14T15:21:47,371726,the+passenger+1975,the passenger,1975,5
2024-10-14T15:21:48,293255,transformers+age+of+extinction+2014,transformers age of extinction,2014,3
2024-10-14T15:21:49,253524,the+damned+united+2009,the damned united,2009,3
2024-10-14T15:21:51,285229,futurama+the+beast+with+a+billion+backs+2008,futurama the beast with a billion backs,2008,5
2024-10-14T15:21:51,214015,the+virgin+spring+1960,the virgin spring,1960,4
2024-10-14T15:21:51,79086,ants+in+the+pants+2000,ants in the pants,2000,5
2024-10-14T15:21:53,240715,ice+age+dawn+of+the+dinosaurs+2009,ice age dawn of the dinosaurs,2009,4
2024-10-14T15:21:53,221484,my+neighbor+totoro+1988,my neighbor totoro,1988,5
